Country,City,Owner/project name,End-use,Total consumption T/Y,Latitude plant,Longitude plant
France,Lavéra,Lavéra Petrolneos Refining Ltd.,Refining,36226.0338548721,43.390073,5.030569
France,La Mede,La Mede Total,Refining,15252.63157894737,43.399232,5.111521
France,Fos sur Mer,Fos sur Mer ExxonMobil,Refining,25268.13701052632,43.439882,4.945711
France,Jarrie,Jarrie Arkema,Other chemicals,2426.58,45.1144266,5.7547492
France,Feyzin,Feyzin Total,Refining,19304.73497423585,45.6740259,4.8602463
France,Donges,Donges Total,Refining,34191.58267177218,47.318789,-2.074694
France,Ottmarsheim,Ottmarshein BOREALIS-PRODUITS ET ENGRAIS CHIMIQUES DU RHIN,Ammonia,26313.2805,47.78719,7.506512
France,Grandpuits-Bailly-Carrois,Grandpuits-Bailly-Carrois Borealis,Ammonia,44428.962075,48.5854426,2.9781166
France,Grand-Quevilly,Grand-Quevilly Borealis,Ammonia,40481.96999999999,49.411811,1.041384
France,Port Jérôme,Port Jérôme ExxonMobil,Refining,69749.0,49.4900146,0.5676293
France,Le Havre,Le Havre YARA,Ammonia,40481.96999999999,49.49437,0.107929
France,Gonfreville L'Orcher,Gonfreville L'Orcher Total,Refining,106516.6597827374,49.503579,0.233079
Italy,Gela,Gela Praoil,Refining,19512.49846709865,37.0741526,14.2403537
Italy,Priolo,Priolo ISAB SpA (sud),Refining,28578.80982203991,37.1598584,15.1837006
Italy,Melilli,Melilli ISAB SpA (nord),Refining,10899.14486332218,37.1810245,15.1253159
Italy,Augusta,Augusta Sonatrach,Refining,33965.26482441471,37.2500684,15.2216971
Italy,Milazzo,Milazzo Raffineria di Milazzo SpA.(Eni),Refining,108779.1005066685,38.2227102,15.2419327
Italy,Sarroch,Sarroch Saras SpA Raffinerie Sarde,Refining,69323.18287625418,39.0654974,9.0108377
Italy,Taranto,Taranto Eni,Refining,64139.38329086246,40.4653606,17.2470303
Italy,Livorno,Livorno Eni,Refining,9999.594037904126,43.548473,10.3105674
Italy,Falconara Marittima,Falconara Marittima/Ancona Anonima Petroli Italiana S.p.A.,Refining,14537.43001168326,43.6240339,13.3702811
Italy,Ferrara,Ferrara YARA,Ammonia,77767.995,44.8391237,11.619787
Italy,Busalla,Busalla Iplom Spa,Refining,9243.091050167222,44.5692431,8.9461497
Italy,Sannazzaro,Sannazaro de Burgondi Eni,Refining,81743.58647491639,45.1019768,8.907521
Italy,Mantova,Mantova Air Products,Refining,18891.25786250464,45.1584168,10.7913751
Italy,San Martino di Trecate,San Martino di Trecate Sarpom (Esso Group),Refining,31231.5381187291,45.4468891,8.7901068
Netherlands,Botlek,Botlek-Rotterdam ExxonMobil Chemical,Refining,23908.23529411765,51.8847247,4.2931302
Netherlands,Delfzijl,Delfzijl BioMCN,Methanol,20742.86792105921,53.3320272,6.9244598
Netherlands,Europoort Rotterdam,Europoort Rotterdam BP,Refining,10727.70463421508,51.9436775,4.1379495
Netherlands,Geleen,Geleen OCI Nitrogen,Ammonia,25577.02946666667,50.9682139,5.8277247
Netherlands,IJmuiden,IJmuiden Linde,Other chemicals,614.952,52.4569544,4.6060138
Netherlands,Middelburg,Middelburg Eastman,Other chemicals,437.2992,51.4987962,3.610998
Netherlands,Pernis,Rotterdam-Vondenlingenplaat-Pernis Shell,Refining,179388.0,51.8907319,4.3890747
Netherlands,Sluiskil,Sluiskil YARA,Ammonia,235896.2515,51.2777029,3.8366881
Netherlands,Vlissingen,Zeeland Total/Lukoil,Refining,118186.5764786407,51.4536672,3.5709125
Norway,Porsgrunn,Porsgrunn YARA,Ammonia,64806.6625,59.1385567,9.6555147
Norway,Sarpsborg,Sarpsborg Borregaard Industries,Other chemicals,1230.777002053388,59.2850729,11.1094028
Norway,Volden,"Tjelbergodden Equinor, Conoco Phillips",Methanol,42428.59347489383,60.472024,8.468946
Norway,Mongstad,Mongstad Equinor,Refining,37015.10067407267,60.8030242,5.0232691
Poland,Blachownia,Blachownia Solveco SA,Other chemicals,683.28,50.78505,18.96224
Poland,Bochnia,Bochnia Stalprodukt,Other chemicals,2938.104,49.9684577,20.4303286
Poland,Gdansk,Gdansk Grupa Lotos,Refining,138423.257,54.3520252,18.6466384
Poland,Jedlicze,Jedlicze PKN ORLEN,Refining,47728.02599283285,49.71849,21.64896
Poland,Kedzierzyn,Kedzierzyn Zaklady Azotowe 1,Ammonia,42421.47308254019,50.3373005,18.1813286
Poland,Kedzierzyn,Kedzierzyn Zaklady Azotowe 2,Ammonia,44078.65907937875,50.3383005,18.1813286
Poland,Police,Police Zaklady Chemiczne,Ammonia,65405.32099714381,53.5626824187108,14.538638881077
Poland,Pulawy,Pulawy Zaklady Azotowe,Ammonia,133535.863702502,51.4164431,21.969309
Poland,Tarnow,Tarnow Zaklady Azotowe,Ammonia,31484.6870534478,50.0131011,20.9858407
Poland,Tarnow,Tarnow Zaklady Azotowe,Other chemicals,4864.9536,50.0141011,20.9858407
Poland,Trzebinia,Trzebinia PKN ORLEN,Refining,,50.15847,19.4694
Poland,Wloclawek,Wloclawek Anwil S.A. (Grupa Orlen),Ammonia,57445.74479927318,52.6493303,19.0677357
Spain,Cadiz,San Roque/Algeciras CEPSA,Refining,14018.20238843495,36.5210142,-6.2804565
Spain,Huelva,Huelva Fertiberia,Ammonia,43545.85225850343,37.2619585,-6.9427327
Spain,Huelva,Huelva/La Rabida CEPSA,Refining,69020.30562471136,37.2639585,-6.9427327
Spain,Cartagena,Cartagena Repsol,Refining,125462.9113764928,37.6176944,-0.9892242
Spain,Puertollano,Puertollano Fertiberia,Ammonia,21772.92612925171,38.6894458,-4.1078877
Spain,Puertollano,Puertollano Repsol,Refining,42983.73222339094,38.6914458,-4.1078877
Spain,Castellon de la Plana,Castellon de la Plana BP,Refining,65533.86782094906,39.9855905,-0.0496388
Spain,Tarragona,Tarragona Repsol,Refining,72866.73069813229,41.1238827,1.2444909
Spain,Sabiñánigo,Sabinanigo ENERG.IND.ARAGON,Ammonia,979.7816758163272,42.5193594,-0.3638114
Spain,Bilbao,Muskiz Repsol,Refining,51867.3488372093,43.2630126,-2.9349852
Spain,La Coruña,La Coruña Repsol,Refining,37148.23632935261,43.3633436,-8.4115401
