Rank,Country,Score
1,Singapore,100.0
2,Switzerland,97.5
3,Denmark,97.1
4,Ireland,91.9
5,Hong Kong SAR,91.5
6,Sweden,90.3
7,UAE,89.7
8,Taiwan (Chinese Taipei),88.5
9,Netherlands,86.9
10,Norway,86.2
11,Qatar,85.3
12,USA,83.5
13,Australia,81.9
14,China,81.0
15,Finland,80.3
16,Saudi Arabia,79.8
17,Iceland,78.9
18,Belgium,77.9
19,Canada,77.7
20,Korea Rep.,75.9
21,Bahrain,75.3
22,Israel,75.0
23,Luxembourg,73.7
24,Germany,72.7
25,Thailand,72.5
26,Austria,72.1
27,Indonesia,71.5
28,United Kingdom,70.8
29,Czech Republic,70.2
30,Lithuania,69.9
31,France,69.7
32,New Zealand,68.2
33,Estonia,68.2
34,Malaysia,68.1
35,Kazakhstan,66.0
36,Portugal,65.1
37,Kuwait,65.0
38,Japan,65.0
39,India,62.9
40,Spain,62.8
41,Poland,61.7
42,Italy,61.4
43,Cyprus,60.9
44,Chile,59.7
45,Latvia,59.1
46,Slovenia,58.0
47,Greece,56.8
48,Jordan,55.5
49,Puerto Rico,54.9
50,Romania,53.5
51,Croatia,52.8
52,Philippines,52.6
53,Turkey,52.4
54,Hungary,52.1
55,Botswana,50.3
56,Mexico,49.9
57,Colombia,47.4
58,Bulgaria,47.3
59,Slovak Republic,46.9
60,South Africa,46.3
61,Mongolia,46.3
62,Brazil,43.8
63,Peru,43.4
64,Nigeria,39.8
65,Ghana,39.3
66,Argentina,35.9
67,Venezuela,28.9
