Country,Number of Companies
Germany,851
France,719
Spain,438
Netherlands,268
United Kingdom,219
Italy,177
DE,174
Switzerland,144
Austria,140
Norway,131
Poland,124
Sweden,111
FR,109
Belgium,74
Kingdom,53
Denmark,41
Finland,38
Greece,34
Portugal,30
Czech Republic,29
NL,29
ES,29
SE,22
CH,20
GB,20
Hungary,17
Slovakia,16
Ireland,15
PL,15
Romania,14
IT,13
AT,12
Slovenia,11
Estonia,10
BE,10
Bulgaria,10
Croatia,10
NO,9
CZ,8
DK,5
Iceland,5
Luxembourg,4
Lithuania,4
Serbia,3
Latvia,2
HR,2
Albania,2
IS,2
PT,2
SI,2
HU,1
LU,1
LV,1
Chile,1
Malta,1
ESTONIA,1
ITALY,1
GREECE,1
 United Kingdom,1
